"LOCUS"	"SYMBOL"	"SYNOYM"	"LENGTH"	"START"	"STOP"	"STRAND"	"NAME"	"CHROMOSOME"	"ANNOTATION"	"ANNOTATION NAME"		
"PITG_05465"			1707	3437010	3438716	"+"	"L-gulonolactone oxidase, putative"	7	"Pfam"	"PF01565.15"	"FAD_binding_4"	"FAD binding domain"
"PITG_05465"			1707	3437010	3438716	"+"	"L-gulonolactone oxidase, putative"	7	"Pfam"	"TIGR01676"	"GLDHase"	"galactonolactone dehydrogenase"
"PITG_05466"			606	3438799	3439404	"-"	"hypothetical protein"	7				
"PITG_05467"			987	3441641	3442627	"-"	"conserved hypothetical protein"	7				
"PITG_05468"			836	3442749	3443584	"+"	"conserved hypothetical protein"	7				
"PITG_05469"			1071	3443890	3444960	"+"	"conserved hypothetical protein"	7				
"PITG_05469"			1071	3443890	3444960	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF06047.3"	"DUF926"	"Domain of Unknown Function (DUF926)"
"PITG_05470"			757	3445389	3446145	"-"	"conserved hypothetical protein"	7				
"PITG_05473"			687	3465344	3466030	"+"	"hypothetical protein"	7				
"PITG_05474"			1299	3467122	3468420	"-"	"conserved hypothetical protein"	7				
"PITG_05475"			1305	3468587	3469891	"-"	"conserved hypothetical protein"	7				
"PITG_05476"			1557	3470094	3471650	"+"	"flavin-binding monooxygenase-like protein"	7				
"PITG_05477"			2208	3471761	3473968	"-"	"hypothetical protein"	7				
"PITG_05477"			2208	3471761	3473968	"-"	"hypothetical protein"	7	"Pfam"	"PF00036.24"	"efhand"	"EF hand"
"PITG_05478"			2145	3474223	3476367	"-"	"conserved hypothetical protein"	7				
"PITG_05479"			1981	3477142	3479122	"-"	"ubiquitin-activating enzyme (E1), putative"	7				
"PITG_05479"			1981	3477142	3479122	"-"	"ubiquitin-activating enzyme (E1), putative"	7	"Pfam"	"PF00899.13"	"ThiF"	"ThiF family"
"PITG_05479"			1981	3477142	3479122	"-"	"ubiquitin-activating enzyme (E1), putative"	7	"Pfam"	"PF02134.13"	"UBACT"	"Repeat in ubiquitin-activating (UBA) protein"
"PITG_05480"			3958	3479418	3483375	"+"	"conserved hypothetical protein"	7				
"PITG_05481"			1622	3483721	3485342	"+"	"conserved hypothetical protein"	7				
"PITG_05481"			1622	3483721	3485342	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF03815.11"	"LCCL"	"LCCL domain"
"PITG_05482"			1630	3485461	3487090	"+"	"hypothetical protein"	7				
"PITG_05483"			1117	3487165	3488281	"-"	"protein kinase, putative"	7				
"PITG_05483"			1117	3487165	3488281	"-"	"protein kinase, putative"	7	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_05483"			1117	3487165	3488281	"-"	"protein kinase, putative"	7	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_05484"			952	3514058	3515009	"+"	"conserved hypothetical protein"	7				
"PITG_05485"			2265	3515632	3517896	"-"	"peroxisomal acyl-coenzyme A oxidase, putative"	7				
"PITG_05485"			2265	3515632	3517896	"-"	"peroxisomal acyl-coenzyme A oxidase, putative"	7	"Pfam"	"PF01756.11"	"ACOX"	"Acyl-CoA oxidase"
"PITG_05485"			2265	3515632	3517896	"-"	"peroxisomal acyl-coenzyme A oxidase, putative"	7	"Pfam"	"PF02770.11"	"Acyl-CoA_dh_M"	"Acyl-CoA dehydrogenase, middle domain"
"PITG_05486"			2366	3518242	3520607	"-"	"acyl-CoA dehydrogenase/oxidase"	7				
"PITG_05486"			2366	3518242	3520607	"-"	"acyl-CoA dehydrogenase/oxidase"	7	"Pfam"	"PF01756.11"	"ACOX"	"Acyl-CoA oxidase"
"PITG_05486"			2366	3518242	3520607	"-"	"acyl-CoA dehydrogenase/oxidase"	7	"Pfam"	"PF02770.11"	"Acyl-CoA_dh_M"	"Acyl-CoA dehydrogenase, middle domain"
"PITG_05487"			1764	3556971	3558734	"-"	"cyclin-dependent kinase, putative"	7				
"PITG_05487"			1764	3556971	3558734	"-"	"cyclin-dependent kinase, putative"	7	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_05487"			1764	3556971	3558734	"-"	"cyclin-dependent kinase, putative"	7	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_05488"			2284	3559079	3561362	"-"	"hypothetical protein"	7				
"PITG_05489"			408	3561437	3561844	"+"	"conserved hypothetical protein"	7				
"PITG_05489"			408	3561437	3561844	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF08555.2"	"DUF1754"	"Eukaryotic family of unknown function (DUF1754)"
"PITG_05490"			1609	3562030	3563638	"-"	"conserved hypothetical protein"	7				
"PITG_05491"			974	3563683	3564656	"-"	"conserved hypothetical protein"	7				
"PITG_05494"			1248	3573209	3574456	"+"	"conserved hypothetical protein"	7				
"PITG_05494"			1248	3573209	3574456	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF00400.24"	"WD40"	"WD domain, G-beta repeat"
"PITG_05495"			1451	3574490	3575940	"-"	"conserved hypothetical protein"	7				
"PITG_05496"			811	3576072	3576882	"+"	"augmenter of liver regeneration"	7				
"PITG_05496"			811	3576072	3576882	"+"	"augmenter of liver regeneration"	7	"Pfam"	"PF04777.5"	"Evr1_Alr"	"Erv1 / Alr family"
"PITG_05497"			904	3577043	3577946	"-"	"conserved hypothetical protein"	7				
"PITG_05498"			2645	3578285	3580929	"+"	"heat shock protein 90, putative"	7				
"PITG_05498"			2645	3578285	3580929	"+"	"heat shock protein 90, putative"	7	"Pfam"	"PF00183.10"	"HSP90"	"Hsp90 protein"
"PITG_05499"			2720	3580979	3583698	"-"	"conserved hypothetical protein"	7				
"PITG_05500"			1252	3584006	3585257	"-"	"conserved hypothetical protein"	7				
"PITG_05501"			1144	3585481	3586624	"+"	"Non-selective Cation Channel-2 (NSCC2) Family"	7				
"PITG_05501"			1144	3585481	3586624	"+"	"Non-selective Cation Channel-2 (NSCC2) Family"	7	"Pfam"	"PF03839.8"	"Sec62"	"Translocation protein Sec62"
"PITG_05502"			1922	3586793	3588714	"-"	"calcineurin-like phosphoesterase, putative"	7				
"PITG_05502"			1922	3586793	3588714	"-"	"calcineurin-like phosphoesterase, putative"	7	"Pfam"	"PF00149.20"	"Metallophos"	"Calcineurin-like phosphoesterase"
"PITG_05503"			1179	3588989	3590167	"+"	"cyclin-C, putative"	7				
"PITG_05503"			1179	3588989	3590167	"+"	"cyclin-C, putative"	7	"Pfam"	"PF00134.15"	"Cyclin_N"	"Cyclin, N-terminal domain"
"PITG_05504"			1304	3592369	3593672	"+"	"conserved hypothetical protein"	7				
"PITG_05504"			1304	3592369	3593672	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF00787.16"	"PX"	"PX domain"
"PITG_05505"			2274	3593912	3596185	"-"	"conserved hypothetical protein"	7				
"PITG_05506"			747	3596498	3597244	"-"	"conserved hypothetical protein"	7				
"PITG_05506"			747	3596498	3597244	"-"	"conserved hypothetical protein"	7	"Pfam"	"PF00085.12"	"Thioredoxin"	"Thioredoxin"
"PITG_05507"			2671	3597346	3600016	"+"	"conserved hypothetical protein"	7				
"PITG_05508"			2674	3600474	3603147	"-"	"polycomb protein, putative"	7				
"PITG_05508"			2674	3600474	3603147	"-"	"polycomb protein, putative"	7	"Pfam"	"PF09733.1"	"VEFS-Box"	"VEFS-Box of polycomb protein"
"PITG_05509"			3108	3603601	3606708	"+"	"conserved hypothetical protein"	7				
"PITG_05510"			1251	3606781	3608031	"-"	"hypothetical protein"	7				
"PITG_05511"			1343	3610437	3611779	"+"	"Mitochondrial Carrier (MC) Family"	7				
"PITG_05511"			1343	3610437	3611779	"+"	"Mitochondrial Carrier (MC) Family"	7	"Pfam"	"PF00153.19"	"Mito_carr"	"Mitochondrial carrier protein"
"PITG_05512"			1614	3612046	3613659	"+"	"conserved hypothetical protein"	7				
"PITG_05512"			1614	3612046	3613659	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF05383.9"	"La"	"La domain"
"PITG_05512"			1614	3612046	3613659	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF08777.3"	"RRM_3"	"RNA binding motif"
"PITG_05513"			3212	3613879	3617090	"-"	"conserved hypothetical protein"	7				
"PITG_05516"			1319	3646532	3647850	"+"	"glutathione S-transferase omega-like protein"	7				
"PITG_05517"			4096	3648139	3652234	"-"	"regulatory-associated protein of mTOR"	7				
"PITG_05517"			4096	3648139	3652234	"-"	"regulatory-associated protein of mTOR"	7	"Pfam"	"PF02985.14"	"HEAT"	"HEAT repeat"
"PITG_05518"			783	3652663	3653445	"+"	"hypothetical protein"	7				
"PITG_05518"			783	3652663	3653445	"+"	"hypothetical protein"	7	"Pfam"	"PF03645.5"	"Tctex-1"	"Tctex-1 family"
"PITG_05519"			2424	3653489	3655912	"-"	"phosphatidylinositol 4-phosphate 5-kinase D3 (PIPK-D3/GPCR-PIPK)"	7				
"PITG_05519"			2424	3653489	3655912	"-"	"phosphatidylinositol 4-phosphate 5-kinase D3 (PIPK-D3/GPCR-PIPK)"	7	"Pfam"	"PF01504.10"	"PIP5K"	"Phosphatidylinositol-4-phosphate 5-Kinase"
"PITG_05520"			2148	3656933	3659080	"+"	"glutamine-dependent NAD(+) synthetase, putative"	7				
"PITG_05520"			2148	3656933	3659080	"+"	"glutamine-dependent NAD(+) synthetase, putative"	7	"Pfam"	"PF00795.14"	"CN_hydrolase"	"Carbon-nitrogen hydrolase"
"PITG_05520"			2148	3656933	3659080	"+"	"glutamine-dependent NAD(+) synthetase, putative"	7	"Pfam"	"TIGR00552"	"nadE"	"NAD+ synthetase"
"PITG_05521"			2191	3659019	3661209	"-"	"protein kinase, putative"	7				
"PITG_05521"			2191	3659019	3661209	"-"	"protein kinase, putative"	7	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_05521"			2191	3659019	3661209	"-"	"protein kinase, putative"	7	"Pfam"	"PF00433.16"	"Pkinase_C"	"Protein kinase C terminal domain"
"PITG_05521"			2191	3659019	3661209	"-"	"protein kinase, putative"	7	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7				
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7	"Pfam"	"PF00122.12"	"E1-E2_ATPase"	"E1-E2 ATPase"
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7	"Pfam"	"PF00689.13"	"Cation_ATPase_C"	"Cation transporting ATPase, C-terminus"
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7	"Pfam"	"PF00690.18"	"Cation_ATPase_N"	"Cation transporter/ATPase, N-terminus"
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7	"Pfam"	"PF00702.18"	"Hydrolase"	"haloacid dehalogenase-like hydrolase"
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7	"Pfam"	"TIGR01494"	"ATPase_P-type"	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"
"PITG_05522"			3187	3661576	3664762	"+"	"calcium-transporting ATPase, putative"	7	"Pfam"	"TIGR01517"	"ATPase-IIB_Ca"	"calcium-translocating P-type ATPase, PMCA-type"
"PITG_05523"			2915	3665006	3667920	"-"	"ubiquitin-specific protease, putative"	7				
"PITG_05523"			2915	3665006	3667920	"-"	"ubiquitin-specific protease, putative"	7	"Pfam"	"PF00443.21"	"UCH"	"Ubiquitin carboxyl-terminal hydrolase"
"PITG_05524"			1186	3668231	3669416	"-"	"hypothetical protein"	7				
"PITG_05525"			6218	3670239	3676456	"+"	"hypothetical protein"	7				
"PITG_05525"			6218	3670239	3676456	"+"	"hypothetical protein"	7	"Pfam"	"PF03160.6"	"Calx-beta"	"Calx-beta domain"
"PITG_05526"			2124	3676611	3678734	"-"	"alpha-amylase, putative"	7				
"PITG_05526"			2124	3676611	3678734	"-"	"alpha-amylase, putative"	7	"Pfam"	"PF00128.16"	"Alpha-amylase"	"Alpha amylase, catalytic domain"
"PITG_05526"			2124	3676611	3678734	"-"	"alpha-amylase, putative"	7	"Pfam"	"PF03423.5"	"CBM_25"	"Carbohydrate binding domain (family 25)"
"PITG_05531"			2270	3697960	3700229	"+"	"conserved hypothetical protein"	7				
"PITG_05531"			2270	3697960	3700229	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF10508.1"	"Proteasom_PSMB"	"Proteasome non-ATPase 26S subunit"
"PITG_05532"			3062	3700463	3703524	"+"	"conserved hypothetical protein"	7				
"PITG_05532"			3062	3700463	3703524	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF00498.18"	"FHA"	"FHA domain"
"PITG_05532"			3062	3700463	3703524	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF09066.2"	"B2-adapt-app_C"	"Beta2-adaptin appendage, C-terminal sub-domain"
"PITG_05533"			1655	3703603	3705257	"-"	"conserved hypothetical protein"	7				
"PITG_05533"			1655	3703603	3705257	"-"	"conserved hypothetical protein"	7	"Pfam"	"PF00264.12"	"Tyrosinase"	"Common central domain of tyrosinase"
"PITG_05534"			1854	3705699	3707552	"+"	"nucleolar protein Nop56"	7				
"PITG_05534"			1854	3705699	3707552	"+"	"nucleolar protein Nop56"	7	"Pfam"	"PF01798.10"	"Nop"	"Putative snoRNA binding domain"
"PITG_05534"			1854	3705699	3707552	"+"	"nucleolar protein Nop56"	7	"Pfam"	"PF08060.5"	"NOSIC"	"NOSIC (NUC001) domain"
"PITG_05534"			1854	3705699	3707552	"+"	"nucleolar protein Nop56"	7	"Pfam"	"PF08156.5"	"NOP5NT"	"NOP5NT (NUC127) domain"
"PITG_05535"			2386	3707699	3710084	"+"	"conserved hypothetical protein"	7				
"PITG_05535"			2386	3707699	3710084	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF06565.4"	"DUF1126"	"Repeat of unknown function (DUF1126)"
"PITG_05536"			2491	3710495	3712985	"-"	"RNA pseudouridylate synthase, putative"	7				
"PITG_05536"			2491	3710495	3712985	"-"	"RNA pseudouridylate synthase, putative"	7	"Pfam"	"PF00849.14"	"PseudoU_synth_2"	"RNA pseudouridylate synthase"
"PITG_05536"			2491	3710495	3712985	"-"	"RNA pseudouridylate synthase, putative"	7	"Pfam"	"TIGR00005"	"rluA_subfam"	"pseudouridine synthase, RluA family"
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7				
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7	"Pfam"	"PF00122.12"	"E1-E2_ATPase"	"E1-E2 ATPase"
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7	"Pfam"	"PF00403.18"	"HMA"	"Heavy-metal-associated domain"
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7	"Pfam"	"PF00702.18"	"Hydrolase"	"haloacid dehalogenase-like hydrolase"
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7	"Pfam"	"TIGR01494"	"ATPase_P-type"	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7	"Pfam"	"TIGR01511"	"ATPase-IB1_Cu"	"copper-translocating P-type ATPase"
"PITG_05537"			4125	3727979	3732103	"-"	"copper-transporting ATPase, putative"	7	"Pfam"	"TIGR01525"	"ATPase-IB_hvy"	"heavy metal translocating P-type ATPase"
"PITG_05538"			1354	3733832	3735185	"+"	"conserved hypothetical protein"	7				
"PITG_05539"			1105	3735221	3736325	"-"	"carbon-nitrogen hydrolase, putative"	7				
"PITG_05539"			1105	3735221	3736325	"-"	"carbon-nitrogen hydrolase, putative"	7	"Pfam"	"PF00795.14"	"CN_hydrolase"	"Carbon-nitrogen hydrolase"
"PITG_05540"			824	3736577	3737400	"+"	"conserved hypothetical protein"	7				
"PITG_05541"			2004	3737467	3739470	"-"	"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase, putative"	7				
"PITG_05541"			2004	3737467	3739470	"-"	"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase, putative"	7	"Pfam"	"PF03155.7"	"Alg6_Alg8"	"ALG6, ALG8 glycosyltransferase family"
"PITG_05542"			984	3739632	3740615	"+"	"3-hydroxyacyl-CoA dehydrogenase, putative"	7				
"PITG_05542"			984	3739632	3740615	"+"	"3-hydroxyacyl-CoA dehydrogenase, putative"	7	"Pfam"	"PF00106.17"	"adh_short"	"short chain dehydrogenase"
"PITG_05543"			1773	3740725	3742497	"-"	"conserved hypothetical protein"	7				
"PITG_05545"			1936	3768248	3770183	"+"	"conserved hypothetical protein"	7				
"PITG_05545"			1936	3768248	3770183	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF00046.21"	"Homeobox"	"Homeobox domain"
"PITG_05546"			1299	3770162	3771460	"-"	"conserved hypothetical protein"	7				
"PITG_05547"			1703	3771528	3773230	"+"	"Voltage-gated Ion Channel (VIC) Superfamily"	7				
"PITG_05547"			1703	3771528	3773230	"+"	"Voltage-gated Ion Channel (VIC) Superfamily"	7	"Pfam"	"PF07885.8"	"Ion_trans_2"	"Ion channel"
"PITG_05548"			2854	3773237	3776090	"-"	"metalloprotease family M14A, putative"	7				
"PITG_05548"			2854	3773237	3776090	"-"	"metalloprotease family M14A, putative"	7	"Pfam"	"PF00246.16"	"Peptidase_M14"	"Zinc carboxypeptidase"
"PITG_05549"			1577	3777063	3778639	"-"	"conserved hypothetical protein"	7				
"PITG_05550"			1173	3779730	3780902	"+"	"conserved hypothetical protein"	7				
"PITG_05550"			1173	3779730	3780902	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF03134.11"	"TB2_DP1_HVA22"	"TB2/DP1, HVA22 family"
"PITG_05551"			1542	3781077	3782618	"-"	"ribose-phosphate pyrophosphokinase, putative"	7				
"PITG_05551"			1542	3781077	3782618	"-"	"ribose-phosphate pyrophosphokinase, putative"	7	"Pfam"	"PF00156.19"	"Pribosyltran"	"Phosphoribosyl transferase domain"
"PITG_05551"			1542	3781077	3782618	"-"	"ribose-phosphate pyrophosphokinase, putative"	7	"Pfam"	"TIGR01251"	"ribP_PPkin"	"ribose-phosphate diphosphokinase"
"PITG_05552"			2634	3782783	3785416	"-"	"heat shock protein 75 kDa, mitochondrial precursor"	7				
"PITG_05552"			2634	3782783	3785416	"-"	"heat shock protein 75 kDa, mitochondrial precursor"	7	"Pfam"	"PF00183.10"	"HSP90"	"Hsp90 protein"
"PITG_05552"			2634	3782783	3785416	"-"	"heat shock protein 75 kDa, mitochondrial precursor"	7	"Pfam"	"PF02518.18"	"HATPase_c"	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
"PITG_05553"			1573	3799441	3801013	"+"	"D-lactate dehydrogenase, putative"	7				
"PITG_05553"			1573	3799441	3801013	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"PF01565.15"	"FAD_binding_4"	"FAD binding domain"
"PITG_05553"			1573	3799441	3801013	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"PF02913.11"	"FAD-oxidase_C"	"FAD linked oxidases, C-terminal domain"
"PITG_05553"			1573	3799441	3801013	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"TIGR00387"	"glcD"	"glycolate oxidase, subunit GlcD"
"PITG_05555"			1902	3801246	3803147	"+"	"D-lactate dehydrogenase, putative"	7				
"PITG_05555"			1902	3801246	3803147	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"PF01565.15"	"FAD_binding_4"	"FAD binding domain"
"PITG_05555"			1902	3801246	3803147	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"PF02913.11"	"FAD-oxidase_C"	"FAD linked oxidases, C-terminal domain"
"PITG_05556"			1794	3803391	3805184	"+"	"D-lactate dehydrogenase, putative"	7				
"PITG_05556"			1794	3803391	3805184	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"PF01565.15"	"FAD_binding_4"	"FAD binding domain"
"PITG_05556"			1794	3803391	3805184	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"PF02913.11"	"FAD-oxidase_C"	"FAD linked oxidases, C-terminal domain"
"PITG_05556"			1794	3803391	3805184	"+"	"D-lactate dehydrogenase, putative"	7	"Pfam"	"TIGR00387"	"glcD"	"glycolate oxidase, subunit GlcD"
"PITG_05557"			1113	3805749	3806861	"-"	"Drug/Metabolite Transporter (DMT) Superfamily"	7				
"PITG_05558"			717	3807042	3807758	"-"	"conserved hypothetical protein"	7				
"PITG_05558"			717	3807042	3807758	"-"	"conserved hypothetical protein"	7	"Pfam"	"PF00023.22"	"Ank"	"Ankyrin repeat"
"PITG_05559"			2055	3810549	3812603	"+"	"conserved hypothetical protein"	7				
"PITG_05560"			3430	3812696	3816125	"-"	"conserved hypothetical protein"	7				
"PITG_05561"			1659	3818554	3820212	"+"	"conserved hypothetical protein"	7				
"PITG_05562"			3050	3820221	3823270	"-"	"conserved hypothetical protein"	7				
"PITG_05562"			3050	3820221	3823270	"-"	"conserved hypothetical protein"	7	"Pfam"	"PF00400.24"	"WD40"	"WD domain, G-beta repeat"
"PITG_05563"			347	3823371	3823717	"+"	"hypothetical protein"	7				
"PITG_05564"			1122	3823996	3825117	"+"	"conserved hypothetical protein"	7				
"PITG_05564"			1122	3823996	3825117	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF00856.20"	"SET"	"SET domain"
"PITG_05565"			1806	3825472	3827277	"+"	"conserved hypothetical protein"	7				
"PITG_05566"			479	3827385	3827863	"-"	"conserved hypothetical protein"	7				
"PITG_05567"			917	3828895	3829811	"-"	"kinetochore protein NDC80"	7				
"PITG_05567"			917	3828895	3829811	"-"	"kinetochore protein NDC80"	7	"Pfam"	"PF03801.5"	"Ndc80_HEC"	"HEC/Ndc80p family"
"PITG_05568"			1071	3830041	3831111	"+"	"conserved hypothetical protein"	7				
"PITG_05569"			1033	3831433	3832465	"+"	"conserved hypothetical protein"	7				
"PITG_05571"			985	3845580	3846564	"+"	"conserved hypothetical protein"	7				
"PITG_05572"			1284	3861269	3862552	"+"	"hypothetical protein"	7				
"PITG_05574"			615	3876436	3877050	"+"	"conserved hypothetical protein"	7				
"PITG_05576"			578	3883386	3883963	"+"	"conserved hypothetical protein"	7				
"PITG_05577"			2532	3889947	3892478	"+"	"glutathione S-transferase, putative"	7				
"PITG_05577"			2532	3889947	3892478	"+"	"glutathione S-transferase, putative"	7	"Pfam"	"PF02798.12"	"GST_N"	"Glutathione S-transferase, N-terminal domain"
"PITG_05578"			3084	3892830	3895913	"-"	"catalase-peroxidase, putative"	7				
"PITG_05578"			3084	3892830	3895913	"-"	"catalase-peroxidase, putative"	7	"Pfam"	"PF00141.15"	"peroxidase"	"Peroxidase"
"PITG_05578"			3084	3892830	3895913	"-"	"catalase-peroxidase, putative"	7	"Pfam"	"TIGR00198"	"cat_per_HPI"	"catalase/peroxidase HPI"
"PITG_05579"			2093	3896754	3898846	"+"	"catalase-peroxidase, putative"	7				
"PITG_05579"			2093	3896754	3898846	"+"	"catalase-peroxidase, putative"	7	"Pfam"	"PF00141.15"	"peroxidase"	"Peroxidase"
"PITG_05579"			2093	3896754	3898846	"+"	"catalase-peroxidase, putative"	7	"Pfam"	"TIGR00198"	"cat_per_HPI"	"catalase/peroxidase HPI"
"PITG_05580"			594	3900380	3900973	"-"	"glutathione S-transferase, putative"	7				
"PITG_05580"			594	3900380	3900973	"-"	"glutathione S-transferase, putative"	7	"Pfam"	"PF02798.12"	"GST_N"	"Glutathione S-transferase, N-terminal domain"
"PITG_05581"			411	3901356	3901766	"-"	"conserved hypothetical protein"	7				
"PITG_05582"			705	3908089	3908793	"-"	"glutathione S-transferase, putative"	7				
"PITG_05582"			705	3908089	3908793	"-"	"glutathione S-transferase, putative"	7	"Pfam"	"PF00043.17"	"GST_C"	"Glutathione S-transferase, C-terminal domain"
"PITG_05582"			705	3908089	3908793	"-"	"glutathione S-transferase, putative"	7	"Pfam"	"PF02798.12"	"GST_N"	"Glutathione S-transferase, N-terminal domain"
"PITG_05583"			2983	3909033	3912015	"-"	"glutathione S-transferase, putative"	7				
"PITG_05583"			2983	3909033	3912015	"-"	"glutathione S-transferase, putative"	7	"Pfam"	"PF00043.17"	"GST_C"	"Glutathione S-transferase, C-terminal domain"
"PITG_05583"			2983	3909033	3912015	"-"	"glutathione S-transferase, putative"	7	"Pfam"	"PF02798.12"	"GST_N"	"Glutathione S-transferase, N-terminal domain"
"PITG_05584"			1111	3941375	3942485	"-"	"hypothetical protein"	7				
"PITG_05585"			2506	3955380	3957885	"-"	"DNA polymerase subunit alpha B, putative"	7				
"PITG_05585"			2506	3955380	3957885	"-"	"DNA polymerase subunit alpha B, putative"	7	"Pfam"	"PF04042.8"	"DNA_pol_E_B"	"DNA polymerase alpha/epsilon subunit B"
"PITG_05586"			1909	3958037	3959945	"+"	"DNA-(apurinic or apyrimidinic site) lyase, putative"	7				
"PITG_05586"			1909	3958037	3959945	"+"	"DNA-(apurinic or apyrimidinic site) lyase, putative"	7	"Pfam"	"PF03372.15"	"Exo_endo_phos"	"Endonuclease/Exonuclease/phosphatase family"
"PITG_05586"			1909	3958037	3959945	"+"	"DNA-(apurinic or apyrimidinic site) lyase, putative"	7	"Pfam"	"PF06839.4"	"zf-GRF"	"GRF zinc finger"
"PITG_05586"			1909	3958037	3959945	"+"	"DNA-(apurinic or apyrimidinic site) lyase, putative"	7	"Pfam"	"TIGR00195"	"exoDNase_III"	"exodeoxyribonuclease III"
"PITG_05586"			1909	3958037	3959945	"+"	"DNA-(apurinic or apyrimidinic site) lyase, putative"	7	"Pfam"	"TIGR00633"	"xth"	"exodeoxyribonuclease III (xth)"
"PITG_05587"			2287	3960153	3962439	"-"	"protein kinase, putative"	7				
"PITG_05587"			2287	3960153	3962439	"-"	"protein kinase, putative"	7	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_05588"			882	3965216	3966097	"+"	"conserved hypothetical protein"	7				
"PITG_05588"			882	3965216	3966097	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF02900.10"	"LigB"	"Catalytic LigB subunit of aromatic ring-opening dioxygenase"
"PITG_05589"			1113	3966236	3967348	"+"	"conserved hypothetical protein"	7				
"PITG_05590"			1202	3967733	3968934	"+"	"conserved hypothetical protein"	7				
"PITG_05591"			1147	3968647	3969793	"-"	"conserved hypothetical protein"	7				
"PITG_05592"			1082	3969964	3971045	"+"	"conserved hypothetical protein"	7				
"PITG_05592"			1082	3969964	3971045	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF05008.7"	"V-SNARE"	"Vesicle transport v-SNARE protein"
"PITG_05593"			459	3971522	3971980	"-"	"conserved hypothetical protein"	7				
"PITG_05594"			5148	3972233	3977380	"+"	"O-sialoglycoprotein endopeptidase, putative"	7				
"PITG_05594"			5148	3972233	3977380	"+"	"O-sialoglycoprotein endopeptidase, putative"	7	"Pfam"	"PF00814.17"	"Peptidase_M22"	"Glycoprotease family"
"PITG_05594"			5148	3972233	3977380	"+"	"O-sialoglycoprotein endopeptidase, putative"	7	"Pfam"	"TIGR00329"	"gcp"	"metalloendopeptidase, putative, glycoprotease family"
"PITG_05595"			5505	3979947	3985451	"+"	"conserved hypothetical protein"	7				
"PITG_05595"			5505	3979947	3985451	"+"	"conserved hypothetical protein"	7	"Pfam"	"PF00249.23"	"Myb_DNA-binding"	"Myb-like DNA-binding domain"
"PITG_05596"			679	3985759	3986437	"-"	"conserved hypothetical protein"	7				
